"ID","Title","Case ID","Run ID","Status"
"T26844373","Check if the ""Switch mode of UI"" icon is added on toolbar","C1441069","R47995","Untested"
"T26844374","Test the ""Tablet Mode"" functionality when tablet mode is selected","C1441071","R47995","Untested"
"T26844375","Test the ""Desktop Mode"" functionality when desktop mode is selected","C1441072","R47995","Untested"
"T26844400","Check if the Drag&Drop extension is present in extension list","C1446802","R47995","Untested"
"T26844020","Test if branding in desktop shortcut displayed correctly","C1060145","R47995","Untested"
"T26844021","Test if branding in start menu displayed correctly","C1060146","R47995","Untested"
"T26844022","Test if branding in Exit button mouse hover displayed correctly","C1060147","R47995","Untested"
"T26844023","Test if branding in help menu IceDragon Help displayed correctly","C1060148","R47995","Untested"
"T26844024","Test if branding in help menu IceDragon Tour displayed correctly","C1060149","R47995","Untested"
"T26844026","Test if branding in help menu About IceDragon displayed correctly","C1060151","R47995","Untested"
"T26844027","Test if branding in About IceDragon IceDragon Logo displayed correctly","C1060152","R47995","Untested"
"T26844028","Test if branding in About IceDragon Comodo Copyright displayed correctly","C1060153","R47995","Untested"
"T26844029","Test if branding in About IceDragon IceDragon Browser name displayed correctly","C1060154","R47995","Untested"
"T26844030","Test if branding in About IceDragon opensource info displayed correctly","C1060155","R47995","Untested"
"T26844031","Test if branding in About IceDragon Firefox opensource info displayed correctly","C1060156","R47995","Untested"
"T26844032","Test if branding in About IceDragon version info displayed correctly","C1060157","R47995","Untested"
"T26844033","Test if branding in Troubleshooting description displayed correctly","C1060158","R47995","Untested"
"T26844034","Test if branding in Troubleshooting Application basics name displayed correctly","C1060159","R47995","Untested"
"T26844035","Test if branding in Troubleshooting Application basics user agent displayed correctly","C1060160","R47995","Untested"
"T26844037","Test if branding in options general default browser check displayed correctly","C1060162","R47995","Untested"
"T26844038","Test if branding in options general default browser status displayed correctly","C1060163","R47995","Untested"
"T26844039","Test if branding in options general start page bar displayed correctly","C1060164","R47995","Untested"
"T26844041","Test if branding in options search search engines displayed correctly","C1060166","R47995","Untested"
"T26844042","Test if branding in options applications displayed correctly","C1060167","R47995","Untested"
"T26844043","Test if branding in options privacy remember history combobox displayed correctly","C1060168","R47995","Untested"
"T26844044","Test if branding in options privacy remember history warning displayed correctly","C1060169","R47995","Untested"
"T26844045","Test if branding in options Sync displayed correctly","C1060170","R47995","Untested"
"T26844049","Test if branding in advanced network connection displayed correctly","C1060174","R47995","Untested"
"T26844050","Test if branding in advanced update displayed correctly","C1060175","R47995","Untested"
"T26844036","Test if branding in about:home displayed correctly","C1060161","R47995","Untested"
"T26844046","Test if branding in internal pages of IceDragon displayed correctly","C1060171","R47995","Untested"
"T26844105","Test if manual upgrade from older version to new version manually is successful","C1060230","R47995","Untested"
"T26844366","Test if portable version browser detects updates on the server","C1440972","R47995","Untested"
"T26844362","Test if portable update functionality with UAC enabled (Administrator-Older) (EULA not changed)","C1440968","R47995","Untested"
"T26844363","Test if portable update functionality with UAC disabled (Administrator-Older) (EULA not changed)","C1440969","R47995","Untested"
"T26844367","Test if portable update functionality with UAC enabled (Administrator-Current)","C1440973","R47995","Untested"
"T26844368","Test if portable update functionality with UAC disabled (Administrator-Current)","C1440974","R47995","Untested"
"T26844017","Test if ""What is this page?"" with new tab Learn More link goes corresponding online help page","C1060142","R47995","Untested"
"T26844018","Test if ""What is this page?"" with new tab Privacy Policy link goes corresponding online help page","C1060143","R47995","Untested"
"T26844019","Test if New Private Window ""Learn More"" link goes corresponding online help page","C1060144","R47995","Untested"
"T26844204","Test if F10 menu Help Ice Dragon Help link goes corresponding online help page","C1078116","R47995","Untested"
"T26844205","Test if F10 menu Help Ice Dragon Tour link goes corresponding online help page","C1078119","R47995","Untested"
"T26844206","Test if F10 menu Help Keyboard Shortcuts link goes corresponding online help page","C1078120","R47995","Untested"
"T26844207","Test if Online Help Menu Ice Dragon Help link goes corresponding online help page","C1078276","R47995","Untested"
"T26844208","Test if Online Help Menu Ice Dragon Tour link goes corresponding online help page","C1078277","R47995","Untested"
